Study_id	Models_answer_run1	Models_answer_run2	Models_answer_run3	Models_answer_run4	Models_answer_run5
MGYS00002391	no	no	no	no	no
MGYS00000946	no	no	no	no	no
MGYS00005165	no	no	no	no	no
MGYS00002702	no	no	no	no	no
MGYS00004650	no	no	no	no	no
MGYS00001003	no	no	no	no	no
MGYS00001173	no	no	no	no	no
MGYS00001355	no	no	no	no	no
MGYS00000980	no	no	no	no	no
MGYS00001761	yes	yes	yes	yes	yes
MGYS00004296	no	no	no	no	no
MGYS00000932	no	no	no	no	no
MGYS00002001	no	no	no	no	no
MGYS00005779	yes	yes	yes	yes	yes
MGYS00001053	yes	no	no	no	no
MGYS00005547	yes	yes	yes	yes	yes
MGYS00000972	no	no	no	no	no
MGYS00001046	no	no	no	no	no
MGYS00005385	no	no	no	no	no
MGYS00001421	no	yes	no	no	no
MGYS00001059	no	no	no	no	no
MGYS00001448	no	yes	yes	yes	no
MGYS00003917	no	no	no	no	yes
MGYS00001354	no	no	no	yes	no
MGYS00005174	no	yes	no	no	no
MGYS00001052	yes	yes	no	no	no
MGYS00000958	no	no	no	no	no
MGYS00000921	no	no	no	no	no
MGYS00006214	no	no	no	no	no
MGYS00001253	no	no	no	no	no
MGYS00001263	no	yes	yes	yes	no
MGYS00005994	no	yes	no	no	no
MGYS00001041	no	yes	no	no	no
MGYS00001058	no	no	no	no	no
MGYS00001289	no	no	no	no	no
MGYS00002428	no	no	no	no	no
MGYS00000986	no	no	no	no	no
MGYS00004294	no	no	no	no	yes
MGYS00001426	yes	yes	no	no	no
MGYS00001062	no	no	no	no	no
MGYS00001011	no	no	no	no	no
MGYS00001599	yes	no	yes	no	yes
MGYS00005171	no	no	yes	no	no
MGYS00001050	no	no	no	no	no
MGYS00001207	no	no	no	no	no
MGYS00005040	no	no	no	no	no
MGYS00000948	yes	no	no	no	no
MGYS00001331	no	no	no	no	no
MGYS00003915	no	no	no	no	no
MGYS00000966	no	yes	yes	yes	yes
MGYS00004688	no	no	no	no	no
MGYS00000953	no	no	no	no	no
MGYS00002294	no	yes	no	no	no
MGYS00001034	yes	no	yes	yes	yes
MGYS00000956	no	no	no	no	no
MGYS00002032	no	no	no	no	no
MGYS00004541	no	no	no	no	no
MGYS00003812	no	no	no	no	no
MGYS00000988	no	yes	no	no	no
MGYS00001192	no	no	no	no	no
MGYS00001061	no	no	no	no	no
MGYS00001036	yes	no	no	yes	yes
MGYS00001098	no	no	no	no	no
MGYS00003727	no	no	no	no	no
MGYS00001032	no	no	no	no	no
MGYS00006044	no	no	no	no	no
MGYS00006087	yes	no	no	yes	no
MGYS00003912	yes	no	yes	no	no
MGYS00000950	no	no	no	no	no
MGYS00001328	no	no	no	no	no
MGYS00001017	yes	yes	yes	yes	yes
MGYS00001004	no	no	no	no	no
MGYS00005205	yes	no	yes	no	yes
MGYS00005993	no	no	no	no	no
MGYS00001054	no	no	no	no	no
MGYS00003813	no	no	no	no	no
MGYS00001356	no	no	no	no	no
MGYS00005819	no	no	no	no	no
MGYS00001044	no	no	no	no	no
MGYS00005522	no	no	no	no	no
MGYS00000922	no	no	no	no	no
MGYS00001447	no	no	no	no	no
MGYS00002700	no	no	no	no	no
MGYS00001022	no	no	no	no	no
MGYS00000954	no	no	no	no	no
MGYS00001352	no	no	yes	yes	no
MGYS00000944	no	no	no	yes	yes
MGYS00003919	no	no	no	no	no
MGYS00002715	no	no	no	no	no
MGYS00004546	no	no	no	no	no
MGYS00004382	no	no	no	no	no
MGYS00001028	yes	yes	yes	yes	yes
MGYS00004491	no	yes	yes	yes	yes
MGYS00001169	yes	yes	yes	yes	yes
MGYS00002053	no	no	no	yes	no
MGYS00003916	no	no	no	no	no
MGYS00005744	no	no	no	yes	yes
MGYS00001051	yes	no	no	no	no
MGYS00001001	no	no	no	no	no
MGYS00006040	no	no	no	no	no
MGYS00001083	no	no	no	no	no
MGYS00000934	no	no	no	no	no
MGYS00000952	no	no	no	no	no
MGYS00001014	no	yes	yes	no	no
MGYS00001048	no	no	no	no	no
MGYS00002441	no	yes	no	yes	no
MGYS00001611	no	no	no	no	no
MGYS00005502	no	no	no	no	no
MGYS00003793	yes	yes	yes	no	yes
MGYS00005297	yes	no	no	no	no
MGYS00003922	yes	yes	no	yes	yes
MGYS00000924	no	yes	yes	no	no
MGYS00001330	no	no	no	no	no
MGYS00003853	yes	yes	yes	yes	yes
MGYS00005622	no	no	no	no	no
MGYS00005157	no	no	no	no	no
MGYS00000992	yes	yes	no	yes	yes
MGYS00003772	no	yes	yes	yes	yes
MGYS00005521	no	no	no	no	no
MGYS00005511	no	no	no	no	no
MGYS00000951	no	no	no	no	no
MGYS00003067	no	no	no	no	no
MGYS00001038	yes	yes	yes	yes	yes
MGYS00001005	yes	yes	no	yes	yes
MGYS00002116	no	no	no	no	no
MGYS00001161	no	no	no	no	no
MGYS00002110	no	no	no	no	no
MGYS00000971	no	no	no	no	no
MGYS00001060	no	no	no	no	no
MGYS00001037	no	no	no	no	no
MGYS00002303	no	no	no	no	no
MGYS00005186	yes	yes	yes	yes	yes
MGYS00005315	yes	yes	yes	yes	yes
MGYS00001023	no	no	no	no	no
MGYS00003933	no	no	no	no	no
MGYS00001597	no	no	no	no	no
MGYS00001972	yes	yes	yes	yes	yes
MGYS00000926	yes	no	no	no	no
MGYS00001100	no	no	no	no	no
MGYS00005571	yes	no	yes	yes	yes
MGYS00000945	yes	no	yes	yes	yes
MGYS00001009	no	no	no	no	no
MGYS00005241	yes	no	yes	yes	no
MGYS00001033	no	yes	yes	yes	yes
MGYS00001035	yes	no	no	no	yes
MGYS00001158	no	no	no	no	no
MGYS00001049	no	no	no	no	no
MGYS00003066	no	no	no	no	no
MGYS00004610	no	no	no	no	no
MGYS00001031	no	no	no	no	no
MGYS00001909	no	no	no	no	no
MGYS00003981	no	no	no	no	no
MGYS00003717	no	no	no	no	no
MGYS00001057	no	no	no	no	no
MGYS00001911	no	no	no	no	no
MGYS00003807	no	no	no	no	no
MGYS00001024	no	no	no	yes	no
MGYS00002314	no	no	no	no	no
MGYS00000959	no	no	no	no	no
MGYS00001027	yes	yes	yes	yes	yes
