Study_id	Models_answer_run1	Models_answer_run2	Models_answer_run3	Models_answer_run4	Models_answer_run5	final_answer(3)	final_answer(4)	final_answer(5)
MGYS00002391	no	no	no	no	no	no	no	no
MGYS00000946	no	no	no	no	no	no	no	no
MGYS00005165	no	no	no	no	no	no	no	no
MGYS00002702	no	no	no	no	no	no	no	no
MGYS00004650	no	no	no	no	no	no	no	no
MGYS00001003	no	no	no	no	no	no	no	no
MGYS00001173	no	no	no	no	no	no	no	no
MGYS00001355	no	no	no	no	no	no	no	no
MGYS00000980	no	no	no	no	no	no	no	no
MGYS00001761	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00004296	no	no	no	no	no	no	no	no
MGYS00000932	no	no	no	no	no	no	no	no
MGYS00002001	no	no	no	no	no	no	no	no
MGYS00005779	no	no	no	no	no	no	no	no
MGYS00001053	no	no	no	no	no	no	no	no
MGYS00005547	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000972	no	no	no	no	no	no	no	no
MGYS00001046	no	no	no	no	no	no	no	no
MGYS00005385	no	no	no	no	no	no	no	no
MGYS00001421	no	no	no	no	no	no	no	no
MGYS00001059	no	no	no	no	no	no	no	no
MGYS00001448	no	no	no	no	no	no	no	no
MGYS00003917	no	no	no	no	no	no	no	no
MGYS00001354	no	no	no	no	no	no	no	no
MGYS00005174	no	no	no	no	no	no	no	no
MGYS00001052	no	no	no	no	no	no	no	no
MGYS00000958	no	no	no	no	no	no	no	no
MGYS00000921	no	no	no	no	no	no	no	no
MGYS00006214	no	no	no	no	no	no	no	no
MGYS00001253	no	no	no	no	no	no	no	no
MGYS00001263	no	no	no	no	no	no	no	no
MGYS00005994	yes	no	yes	yes	no	yes	no	no
MGYS00001041	no	no	no	no	no	no	no	no
MGYS00001058	no	no	no	no	no	no	no	no
MGYS00001289	no	no	no	no	no	no	no	no
MGYS00002428	no	no	no	no	no	no	no	no
MGYS00000986	no	no	no	no	no	no	no	no
MGYS00004294	no	no	no	no	no	no	no	no
MGYS00001426	no	no	no	no	no	no	no	no
MGYS00001062	no	no	no	no	no	no	no	no
MGYS00001011	no	no	no	no	no	no	no	no
MGYS00001599	no	no	no	no	no	no	no	no
MGYS00005171	no	no	no	no	no	no	no	no
MGYS00001050	no	no	no	no	no	no	no	no
MGYS00001207	no	no	no	no	no	no	no	no
MGYS00005040	no	no	no	no	no	no	no	no
MGYS00000948	no	no	no	no	no	no	no	no
MGYS00001331	no	no	no	no	no	no	no	no
MGYS00003915	no	no	no	no	no	no	no	no
MGYS00000966	no	no	no	no	no	no	no	no
MGYS00004688	no	no	no	no	no	no	no	no
MGYS00000953	no	no	no	no	no	no	no	no
MGYS00002294	no	no	no	no	no	no	no	no
MGYS00001034	no	no	no	no	no	no	no	no
MGYS00000956	no	no	no	no	no	no	no	no
MGYS00002032	no	no	no	no	no	no	no	no
MGYS00004541	no	no	no	no	no	no	no	no
MGYS00003812	no	no	no	no	no	no	no	no
MGYS00000988	no	no	no	no	no	no	no	no
MGYS00001192	no	no	no	no	no	no	no	no
MGYS00001061	no	no	no	no	no	no	no	no
MGYS00001036	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001098	no	no	no	no	no	no	no	no
MGYS00003727	no	no	no	no	no	no	no	no
MGYS00001032	no	no	no	no	no	no	no	no
MGYS00006044	no	no	no	no	no	no	no	no
MGYS00006087	yes	no	no	yes	no	no	no	no
MGYS00003912	no	no	no	no	no	no	no	no
MGYS00000950	no	no	no	no	no	no	no	no
MGYS00001328	no	no	no	no	no	no	no	no
MGYS00001017	yes	no	no	yes	yes	yes	no	no
MGYS00001004	no	no	no	no	no	no	no	no
MGYS00005205	no	no	no	no	no	no	no	no
MGYS00005993	no	no	no	no	no	no	no	no
MGYS00001054	no	no	no	no	no	no	no	no
MGYS00003813	no	no	no	no	no	no	no	no
MGYS00001356	no	no	no	no	no	no	no	no
MGYS00005819	no	no	no	no	no	no	no	no
MGYS00001044	no	no	no	no	no	no	no	no
MGYS00005522	no	no	no	no	no	no	no	no
MGYS00000922	no	no	no	no	no	no	no	no
MGYS00001447	no	no	no	no	no	no	no	no
MGYS00002700	no	no	no	no	no	no	no	no
MGYS00001022	no	no	no	no	no	no	no	no
MGYS00000954	no	no	no	no	no	no	no	no
MGYS00001352	no	no	no	no	no	no	no	no
MGYS00000944	no	yes	no	no	no	no	no	no
MGYS00003919	no	no	no	no	no	no	no	no
MGYS00002715	no	no	no	no	no	no	no	no
MGYS00004546	no	no	no	no	no	no	no	no
MGYS00004382	no	no	no	no	no	no	no	no
MGYS00001028	no	no	yes	yes	yes	yes	no	no
MGYS00004491	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001169	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00002053	no	no	no	no	no	no	no	no
MGYS00003916	no	no	no	no	no	no	no	no
MGYS00005744	no	no	no	no	no	no	no	no
MGYS00001051	no	no	no	no	no	no	no	no
MGYS00001001	no	no	no	no	no	no	no	no
MGYS00006040	no	no	no	no	no	no	no	no
MGYS00001083	no	no	no	no	no	no	no	no
MGYS00000934	no	no	no	no	no	no	no	no
MGYS00000952	no	no	no	no	no	no	no	no
MGYS00001014	no	no	no	no	no	no	no	no
MGYS00001048	no	no	no	no	no	no	no	no
MGYS00002441	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001611	no	no	no	no	no	no	no	no
MGYS00005502	no	no	no	no	no	no	no	no
MGYS00003793	no	no	no	no	no	no	no	no
MGYS00005297	no	no	no	no	no	no	no	no
MGYS00003922	yes	yes	no	yes	no	yes	no	no
MGYS00000924	no	no	no	no	no	no	no	no
MGYS00001330	no	no	no	no	no	no	no	no
MGYS00003853	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005622	no	no	no	no	no	no	no	no
MGYS00005157	no	no	no	no	no	no	no	no
MGYS00000992	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00003772	yes	yes	yes	no	yes	yes	yes	no
MGYS00005521	no	no	no	no	no	no	no	no
MGYS00005511	no	no	no	no	no	no	no	no
MGYS00000951	no	no	no	no	no	no	no	no
MGYS00003067	no	no	no	no	no	no	no	no
