Study_id	Models_answer_run1	Models_answer_run2	Models_answer_run3	Models_answer_run4	Models_answer_run5	final_answer(3)	final_answer(4)	final_answer(5)
MGYS00002391	no	no	no	no	no	no	no	no
MGYS00000946	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005165	no	no	no	no	no	no	no	no
MGYS00002702	no	no	no	yes	no	no	no	no
MGYS00004650	yes	yes	yes	yes	no	yes	yes	no
MGYS00001003	yes	no	no	yes	no	no	no	no
MGYS00001173	yes	no	yes	yes	yes	yes	yes	no
MGYS00001355	no	no	no	no	no	no	no	no
MGYS00000980	no	yes	yes	no	yes	yes	no	no
MGYS00001761	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00004296	yes	yes	no	no	yes	yes	no	no
MGYS00000932	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00002001	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005779	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001053	no	no	no	no	no	no	no	no
MGYS00005547	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000972	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001046	no	yes	no	yes	no	no	no	no
MGYS00005385	no	yes	yes	yes	no	yes	no	no
MGYS00001421	yes	yes	no	yes	no	yes	no	no
MGYS00001059	no	yes	no	yes	yes	yes	no	no
MGYS00001448	yes	no	yes	yes	yes	yes	yes	no
MGYS00003917	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001354	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005174	yes	no	yes	yes	no	yes	no	no
MGYS00001052	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000958	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00000921	yes	yes	no	yes	yes	yes	yes	no
MGYS00006214	yes	no	no	yes	no	no	no	no
MGYS00001253	no	yes	yes	yes	yes	yes	yes	no
MGYS00001263	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005994	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00001041	yes	no	no	yes	no	no	no	no
MGYS00001058	no	no	no	no	no	no	no	no
MGYS00001289	no	no	no	no	no	no	no	no
MGYS00002428	no	no	no	no	N/A	no	no	no
MGYS00000986	N/A	no	no	no	no	no	no	no
