Study_id	CC_related
MGYS00000921	no
MGYS00000922	yes
MGYS00000923	no
MGYS00000924	no
MGYS00000925	no
MGYS00000926	no
MGYS00000929	no
MGYS00000932	no
MGYS00000933	no
MGYS00000934	no
MGYS00000935	yes
MGYS00000936	no
MGYS00000939	no
MGYS00000944	no
MGYS00000945	yes
MGYS00000946	no
MGYS00000947	no
MGYS00000948	no
MGYS00000950	no
MGYS00000951	no
MGYS00000952	no
MGYS00000953	no
MGYS00000954	no
MGYS00000956	no
MGYS00000958	no
MGYS00000959	no
MGYS00000961	no
MGYS00000963	no
MGYS00000965	no
MGYS00000966	no
MGYS00000971	no
MGYS00000972	no
MGYS00000975	no
MGYS00000977	no
MGYS00000978	no
MGYS00000980	no
MGYS00000981	no
MGYS00000982	no
MGYS00000986	no
MGYS00000988	no
MGYS00000989	no
MGYS00000992	no
MGYS00000994	no
MGYS00000998	no
MGYS00001001	no
MGYS00001003	no
MGYS00001004	no
MGYS00001005	yes
MGYS00001006	no
MGYS00001008	no
MGYS00001009	no
MGYS00001011	no
MGYS00001014	no
MGYS00001017	yes
MGYS00001022	no
MGYS00001023	no
MGYS00001024	no
MGYS00001025	no
MGYS00001026	yes
MGYS00001027	yes
MGYS00001028	no
MGYS00001031	no
MGYS00001032	no
MGYS00001033	no
MGYS00001034	no
MGYS00001035	no
MGYS00001036	no
MGYS00001037	no
MGYS00001038	yes
MGYS00001039	no
MGYS00001041	no
MGYS00001042	no
MGYS00001044	no
MGYS00001045	no
MGYS00001046	no
MGYS00001048	no
MGYS00001049	no
MGYS00001050	no
MGYS00001051	no
MGYS00001052	no
MGYS00001053	no
MGYS00001054	no
MGYS00001057	no
MGYS00001058	no
MGYS00001059	no
MGYS00001060	no
MGYS00001061	no
MGYS00001062	no
MGYS00001065	no
MGYS00001083	no
MGYS00001098	no
MGYS00001100	no
MGYS00001158	no
MGYS00001161	no
MGYS00001169	no
MGYS00001173	no
MGYS00001192	no
MGYS00001198	no
MGYS00001202	no
MGYS00001207	no
MGYS00001253	no
MGYS00001263	no
MGYS00001284	no
MGYS00001289	no
MGYS00001293	no
MGYS00001328	no
MGYS00001330	no
MGYS00001331	no
MGYS00001352	no
MGYS00001353	no
MGYS00001354	no
MGYS00001355	no
MGYS00001356	no
MGYS00001421	no
MGYS00001426	no
MGYS00001447	no
MGYS00001448	no
MGYS00001597	no
MGYS00001599	no
MGYS00001606	no
MGYS00001611	no
MGYS00001619	yes
MGYS00001627	no
MGYS00001761	no
MGYS00001762	no
MGYS00001909	no
MGYS00001911	no
MGYS00001972	no
MGYS00002001	no
MGYS00002018	no
MGYS00002032	no
MGYS00002048	no
MGYS00002053	no
MGYS00002054	no
MGYS00002110	no
MGYS00002115	no
MGYS00002116	no
MGYS00002190	no
MGYS00002254	no
MGYS00002294	no
MGYS00002303	no
MGYS00002314	no
MGYS00002386	no
MGYS00002391	no
MGYS00002428	no
MGYS00002429	no
MGYS00002441	yes
MGYS00002679	no
MGYS00002700	no
MGYS00002702	no
MGYS00002715	no
MGYS00003066	no
MGYS00003067	no
MGYS00003688	no
MGYS00003691	no
MGYS00003717	no
MGYS00003727	no
MGYS00003754	no
MGYS00003759	yes
MGYS00003772	yes
MGYS00003785	no
MGYS00003786	no
MGYS00003793	no
MGYS00003807	no
MGYS00003812	no
MGYS00003813	no
MGYS00003853	yes
MGYS00003858	no
MGYS00003870	no
MGYS00003912	no
MGYS00003915	no
MGYS00003916	no
MGYS00003917	no
MGYS00003918	no
MGYS00003919	no
MGYS00003920	no
MGYS00003922	no
MGYS00003931	no
MGYS00003933	no
MGYS00003981	no
MGYS00004294	no
MGYS00004296	no
MGYS00004382	no
MGYS00004491	no
MGYS00004541	no
MGYS00004546	no
MGYS00004602	no
MGYS00004610	no
MGYS00004650	no
MGYS00004688	no
MGYS00005040	no
MGYS00005053	no
MGYS00005077	no
MGYS00005078	no
MGYS00005091	no
MGYS00005092	no
MGYS00005093	no
MGYS00005096	no
MGYS00005157	no
MGYS00005165	no
MGYS00005171	no
MGYS00005174	no
MGYS00005185	no
MGYS00005186	no
MGYS00005205	no
MGYS00005208	no
MGYS00005241	no
MGYS00005243	no
MGYS00005297	no
MGYS00005313	no
MGYS00005315	yes
MGYS00005385	no
MGYS00005502	no
MGYS00005511	no
MGYS00005521	no
MGYS00005522	no
MGYS00005536	no
MGYS00005547	yes
MGYS00005571	yes
MGYS00005572	no
MGYS00005622	no
MGYS00005624	no
MGYS00005725	no
MGYS00005744	no
MGYS00005779	no
MGYS00005819	no
MGYS00005993	no
MGYS00005994	no
MGYS00006001	no
MGYS00006040	no
MGYS00006044	no
MGYS00006087	no
MGYS00006118	no
MGYS00006214	no
