Study_id	Models_answer_run1	Models_answer_run2	Models_answer_run3	Models_answer_run4	Models_answer_run5	final_answer(3)	final_answer(4)	final_answer(5)
MGYS00003961	no	no	no	no	no	no	no	no
MGYS00004180	no	N/A	no	N/A	no	no	no	no
MGYS00005709	no	no	no	no	no	no	no	no
MGYS00004445	no	no	no	yes	no	no	no	no
MGYS00003655	no	no	no	no	no	no	no	no
MGYS00004644	yes	yes	no	yes	yes	yes	yes	no
MGYS00004875	no	no	no	no	no	no	no	no
MGYS00004192	yes	no	no	no	no	no	no	no
MGYS00004879	no	no	no	no	no	no	no	no
MGYS00004464	no	no	no	yes	no	no	no	no
MGYS00004676	no	no	no	no	no	no	no	no
MGYS00004153	no	no	N/A	no	no	no	no	no
MGYS00004864	no	no	no	no	no	no	no	no
MGYS00004272	no	no	no	no	no	no	no	no
MGYS00004503	no	no	no	no	no	no	no	no
MGYS00004847	N/A	no	no	no	no	no	no	no
MGYS00004862	no	no	no	no	no	no	no	no
MGYS00004599	no	no	no	no	no	no	no	no
MGYS00005941	no	no	no	no	no	no	no	no
MGYS00004884	no	no	no	no	no	no	no	no
MGYS00004391	no	no	no	no	no	no	no	no
MGYS00004409	yes	yes	yes	yes	no	yes	yes	no
MGYS00006213	no	no	no	N/A	no	no	no	no
MGYS00004672	no	no	no	no	no	no	no	no
MGYS00004100	no	no	no	no	yes	no	no	no
MGYS00005715	no	yes	no	yes	yes	yes	no	no
MGYS00004348	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00004738	no	no	no	no	no	no	no	no
MGYS00004475	no	no	no	no	no	no	no	no
MGYS00004331	no	yes	no	no	no	no	no	no
MGYS00005032	no	no	no	no	no	no	no	no
MGYS00005022	no	no	no	N/A	no	no	no	no
MGYS00005136	no	no	no	no	no	no	no	no
MGYS00005052	no	no	yes	no	no	no	no	no
MGYS00004390	no	no	no	no	no	no	no	no
MGYS00004436	no	no	no	no	no	no	no	no
MGYS00004772	no	no	no	no	no	no	no	no
MGYS00004149	no	no	no	no	no	no	no	no
MGYS00004127	no	no	no	no	no	no	no	no
MGYS00004671	yes	N/A	yes	no	yes	yes	no	no
MGYS00005704	no	N/A	no	no	no	no	no	no
MGYS00004401	no	no	no	no	no	no	no	no
MGYS00004252	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00005097	no	no	no	no	no	no	no	no
MGYS00004735	no	no	N/A	no	no	no	no	no
MGYS00004105	no	no	no	no	no	no	no	no
MGYS00004608	no	no	no	no	no	no	no	no
MGYS00003656	no	no	no	no	no	no	no	no
MGYS00004626	no	no	no	no	no	no	no	no
MGYS00004643	yes	yes	yes	yes	no	yes	yes	no
MGYS00004246	no	no	no	no	no	no	no	no
MGYS00004074	no	no	no	no	no	no	no	no
MGYS00004449	no	no	no	no	no	no	no	no
MGYS00003941	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00004532	no	no	no	no	no	no	no	no
MGYS00004047	no	no	no	no	no	no	no	no
MGYS00004064	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00004177	no	no	no	N/A	yes	no	no	no
MGYS00004112	no	no	no	no	no	no	no	no
MGYS00003985	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00004502	no	yes	yes	yes	no	yes	no	no
MGYS00004432	no	no	yes	yes	yes	yes	no	no
MGYS00005953	no	no	no	no	no	no	no	no
MGYS00005842	no	no	no	no	yes	no	no	no
MGYS00004542	no	no	no	no	no	no	no	no
MGYS00005295	no	no	no	no	no	no	no	no
MGYS00004889	no	no	no	no	no	no	no	no
MGYS00004418	no	no	no	no	no	no	no	no
MGYS00004456	yes	no	no	no	no	no	no	no
MGYS00003635	no	no	no	no	no	no	no	no
MGYS00004292	no	no	no	no	no	no	no	no
MGYS00004553	no	no	no	no	no	no	no	no
MGYS00004466	no	yes	no	no	yes	no	no	no
MGYS00005722	no	no	no	no	no	no	no	no
MGYS00004099	no	no	no	no	no	no	no	no
MGYS00004388	no	no	no	no	no	no	no	no
MGYS00004140	no	no	no	no	no	no	no	no
MGYS00004638	no	no	no	no	no	no	no	no
MGYS00004592	yes	no	yes	yes	yes	yes	yes	no
MGYS00004345	N/A	yes	yes	yes	yes	yes	yes	no
MGYS00005581	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00004307	no	yes	yes	yes	no	yes	no	no
MGYS00004318	yes	no	yes	no	no	no	no	no
MGYS00004877	no	no	no	no	N/A	no	no	no
MGYS00005924	no	no	no	no	no	no	no	no
MGYS00004408	yes	yes	yes	yes	yes	yes	yes	yes
MGYS00004446	no	yes	no	yes	no	no	no	no
MGYS00004233	no	no	no	no	no	no	no	no
MGYS00004393	no	no	no	no	no	no	no	no
MGYS00004327	no	no	no	no	no	no	no	no
MGYS00004059	no	no	no	no	no	no	no	no
