Study_id	Models_answer_run1	Models_answer_run2	Models_answer_run3	Models_answer_run4	Models_answer_run5
MGYS00002391	no	no	no	no	no
MGYS00000946	no	no	yes	no	yes
MGYS00005165	no	no	no	no	no
MGYS00002702	no	no	no	no	no
MGYS00004650	no	no	no	no	no
MGYS00001003	no	no	no	no	no
MGYS00001173	no	yes	no	no	no
MGYS00001355	no	no	no	no	no
MGYS00000980	no	no	no	no	no
MGYS00001761	yes	yes	yes	yes	yes
MGYS00004296	no	no	no	no	no
MGYS00000932	yes	yes	yes	yes	yes
MGYS00002001	yes	yes	yes	yes	yes
MGYS00005779	yes	yes	yes	yes	yes
MGYS00001053	no	no	no	no	no
MGYS00005547	yes	yes	yes	yes	yes
MGYS00000972	yes	yes	yes	yes	no
MGYS00001046	no	no	no	yes	no
MGYS00005385	no	no	no	no	no
MGYS00001421	no	no	yes	no	no
MGYS00001059	no	no	no	no	no
MGYS00001448	yes	no	no	no	no
MGYS00003917	yes	no	yes	no	yes
MGYS00001354	no	yes	yes	no	yes
MGYS00005174	no	no	no	no	no
MGYS00001052	yes	yes	yes	no	no
MGYS00000958	yes	no	no	no	yes
MGYS00000921	yes	no	no	no	no
MGYS00006214	no	no	no	no	no
MGYS00001253	no	no	no	no	yes
MGYS00001263	no	no	no	no	no
MGYS00005994	no	yes	no	yes	no
MGYS00001041	no	yes	no	yes	no
MGYS00001058	no	no	no	no	no
MGYS00001289	no	no	no	no	no
MGYS00002428	no	no	no	no	no
MGYS00000986	yes	yes	no	no	no
MGYS00004294	no	no	no	no	no
MGYS00001426	no	no	no	no	no
MGYS00001062	no	no	no	no	no
MGYS00001011	no	no	no	no	no
MGYS00001599	no	no	no	no	no
MGYS00005171	no	yes	no	no	no
MGYS00001050	no	no	no	no	no
MGYS00001207	no	no	no	no	no
MGYS00005040	no	no	no	no	no
MGYS00000948	yes	yes	no	no	yes
MGYS00001331	no	no	no	no	no
MGYS00003915	no	no	yes	yes	no
MGYS00000966	no	no	yes	no	yes
MGYS00004688	no	no	no	no	no
MGYS00000953	no	no	no	no	no
MGYS00002294	no	yes	no	no	yes
MGYS00001034	yes	no	no	yes	yes
MGYS00000956	yes	no	no	no	no
MGYS00002032	no	no	no	no	no
MGYS00004541	no	no	no	no	no
MGYS00003812	no	yes	no	no	yes
MGYS00000988	no	no	no	yes	no
MGYS00001192	no	no	no	no	no
MGYS00001061	no	no	no	no	no
MGYS00001036	yes	yes	yes	yes	yes
MGYS00001098	no	no	no	no	no
MGYS00003727	no	no	no	no	no
MGYS00001032	yes	yes	yes	yes	yes
MGYS00006044	no	no	no	no	no
MGYS00006087	yes	yes	yes	yes	yes
MGYS00003912	yes	yes	yes	yes	yes
MGYS00000950	no	no	no	no	yes
MGYS00001328	no	no	no	no	no
MGYS00001017	no	yes	yes	yes	yes
MGYS00001004	yes	yes	no	yes	no
MGYS00005205	no	no	yes	no	no
MGYS00005993	no	no	no	no	no
MGYS00001054	no	no	no	no	no
MGYS00003813	no	no	no	no	no
MGYS00001356	no	no	no	no	no
MGYS00005819	no	no	no	no	no
MGYS00001044	no	no	no	no	no
MGYS00005522	yes	yes	yes	yes	yes
MGYS00000922	no	yes	no	no	no
MGYS00001447	no	no	no	yes	yes
MGYS00002700	no	no	no	no	no
MGYS00001022	no	no	no	no	no
MGYS00000954	no	no	no	no	no
MGYS00001352	yes	yes	no	yes	no
MGYS00000944	yes	yes	yes	yes	yes
MGYS00003919	yes	no	no	yes	yes
MGYS00002715	no	yes	no	yes	yes
MGYS00004546	yes	yes	no	yes	no
MGYS00004382	no	no	no	no	no
MGYS00001028	yes	yes	yes	yes	yes
MGYS00004491	yes	yes	yes	yes	yes
MGYS00001169	yes	yes	yes	yes	yes
MGYS00002053	no	no	no	no	no
MGYS00003916	yes	yes	yes	yes	yes
