Study_id	Models_answer_run1	Models_answer_run2	Models_answer_run3	Models_answer_run4	Models_answer_run5
MGYS00002391	no	no	no	no	no
MGYS00000946	yes	no	no	no	no
MGYS00005165	no	no	no	no	no
MGYS00002702	no	no	no	no	no
MGYS00004650	yes	no	no	no	no
MGYS00001003	no	no	no	no	no
MGYS00001173	no	no	no	no	no
MGYS00001355	no	no	yes	no	no
MGYS00000980	no	no	no	no	no
MGYS00001761	yes	yes	yes	yes	yes
MGYS00004296	yes	no	yes	no	no
MGYS00000932	no	no	no	no	no
MGYS00002001	no	no	no	no	no
MGYS00005779	yes	no	yes	yes	yes
MGYS00001053	no	no	no	no	no
MGYS00005547	yes	yes	yes	yes	yes
MGYS00000972	no	no	yes	no	yes
MGYS00001046	no	no	no	no	no
MGYS00005385	no	no	no	no	no
MGYS00001421	no	no	no	no	no
MGYS00001059	no	no	no	no	no
MGYS00001448	no	no	yes	no	no
MGYS00003917	yes	yes	yes	no	no
MGYS00001354	yes	yes	no	no	no
MGYS00005174	yes	no	no	no	no
MGYS00001052	no	no	no	no	no
MGYS00000958	yes	no	no	no	no
MGYS00000921	no	no	no	no	no
MGYS00006214	no	no	no	yes	no
MGYS00001253	no	no	no	no	no
MGYS00001263	no	no	no	no	no
MGYS00005994	no	no	yes	no	no
MGYS00001041	no	no	no	no	no
MGYS00001058	no	no	no	no	no
MGYS00001289	no	no	no	no	no
MGYS00002428	no	no	no	no	no
MGYS00000986	no	no	no	yes	yes
MGYS00004294	no	no	no	no	yes
MGYS00001426	no	no	no	no	no
MGYS00001062	no	no	no	no	no
MGYS00001011	no	no	no	no	no
MGYS00001599	no	no	no	no	no
MGYS00005171	no	no	no	no	no
MGYS00001050	no	no	no	no	no
MGYS00001207	no	no	no	no	no
MGYS00005040	no	no	no	no	no
MGYS00000948	no	no	no	yes	yes
MGYS00001331	no	no	no	no	no
MGYS00003915	no	no	no	no	no
MGYS00000966	yes	yes	no	yes	no
MGYS00004688	no	no	no	no	no
MGYS00000953	no	no	no	no	no
MGYS00002294	no	no	no	no	no
MGYS00001034	no	no	yes	yes	no
MGYS00000956	no	no	no	no	no
MGYS00002032	no	no	no	no	no
MGYS00004541	no	no	no	no	no
MGYS00003812	yes	no	no	yes	yes
MGYS00000988	yes	no	no	no	no
MGYS00001192	no	no	no	no	no
MGYS00001061	no	no	no	no	yes
MGYS00001036	yes	yes	yes	yes	yes
MGYS00001098	no	no	no	no	no
MGYS00003727	no	no	no	no	no
MGYS00001032	no	no	no	no	no
MGYS00006044	no	no	no	no	no
MGYS00006087	yes	yes	yes	yes	yes
MGYS00003912	no	no	no	no	no
MGYS00000950	no	no	no	no	no
MGYS00001328	no	no	no	no	no
MGYS00001017	yes	no	no	yes	no
MGYS00001004	no	no	no	no	no
MGYS00005205	no	no	no	no	no
MGYS00005993	no	no	no	no	no
MGYS00001054	no	no	no	no	yes
MGYS00003813	no	no	no	no	no
MGYS00001356	no	no	no	no	yes
MGYS00005819	no	no	no	no	no
MGYS00001044	no	no	no	no	no
MGYS00005522	no	yes	no	no	yes
MGYS00000922	no	no	no	no	yes
MGYS00001447	no	no	no	no	no
MGYS00002700	no	no	no	no	no
MGYS00001022	no	no	no	no	no
MGYS00000954	no	no	no	no	no
MGYS00001352	yes	no	yes	yes	yes
MGYS00000944	no	no	yes	no	no
MGYS00003919	yes	yes	no	yes	no
MGYS00002715	no	no	no	no	no
MGYS00004546	no	no	no	no	no
MGYS00004382	no	no	no	no	no
MGYS00001028	yes	yes	yes	yes	yes
MGYS00004491	yes	yes	yes	yes	yes
MGYS00001169	yes	yes	yes	yes	yes
MGYS00002053	no	no	no	no	no
MGYS00003916	yes	no	no	no	no
MGYS00005744	yes	no	no	yes	yes
MGYS00001051	no	no	no	no	no
MGYS00001001	no	no	no	no	no
MGYS00006040	no	no	yes	no	yes
MGYS00001083	yes	no	no	no	no
MGYS00000934	no	no	no	no	no
MGYS00000952	yes	yes	yes	yes	yes
MGYS00001014	no	no	no	no	no
MGYS00001048	no	no	no	no	no
MGYS00002441	no	yes	no	yes	no
MGYS00001611	no	no	no	no	no
MGYS00005502	no	no	no	no	no
MGYS00003793	no	no	no	no	no
MGYS00005297	N/A	N/A	N/A	N/A	N/A
MGYS00003922	yes	yes	yes	yes	yes
MGYS00000924	no	yes	yes	yes	yes
MGYS00001330	no	no	yes	no	yes
MGYS00003853	yes	yes	yes	yes	yes
MGYS00005622	no	no	no	no	no
MGYS00005157	no	no	no	no	no
MGYS00000992	yes	yes	yes	no	yes
MGYS00003772	yes	yes	yes	yes	yes
MGYS00005521	no	no	no	no	no
MGYS00005511	no	no	no	no	no
MGYS00000951	no	no	no	no	no
MGYS00003067	no	no	no	no	no
MGYS00001038	yes	yes	yes	yes	yes
MGYS00001005	yes	yes	yes	no	yes
MGYS00002116	no	no	no	no	no
MGYS00001161	yes	no	no	no	no
MGYS00002110	no	no	no	no	no
MGYS00000971	no	no	no	no	no
MGYS00001060	no	no	no	no	no
MGYS00001037	no	no	no	no	no
MGYS00002303	yes	yes	yes	yes	yes
MGYS00005186	yes	yes	yes	yes	no
MGYS00005315	yes	no	no	no	yes
MGYS00001023	no	no	no	no	no
MGYS00003933	no	no	no	no	no
MGYS00001597	no	no	no	no	no
MGYS00001972	no	no	yes	no	no
MGYS00000926	no	no	no	no	no
MGYS00001100	no	no	no	no	no
MGYS00005571	yes	yes	yes	yes	yes
MGYS00000945	yes	yes	no	no	no
MGYS00001009	no	no	no	no	no
MGYS00005241	no	no	yes	yes	no
MGYS00001033	yes	yes	no	no	no
MGYS00001035	yes	yes	no	yes	no
MGYS00001158	no	no	no	no	no
MGYS00001049	no	no	no	no	no
MGYS00003066	no	no	no	no	no
MGYS00004610	no	no	no	no	no
MGYS00001031	no	no	no	no	no
MGYS00001909	no	no	no	no	no
MGYS00003981	no	no	no	no	no
MGYS00003717	no	no	no	no	no
MGYS00001057	no	no	no	no	no
MGYS00001911	no	no	no	no	no
MGYS00003807	no	no	no	no	no
MGYS00001024	yes	no	no	no	yes
MGYS00002314	no	no	no	no	no
MGYS00000959	no	no	no	no	no
MGYS00001027	yes	yes	yes	yes	yes
MGYS00003785	no	no	no	no	no
MGYS00001284	no	no	no	no	no
MGYS00003918	no	no	no	no	no
MGYS00001025	no	no	no	no	no
MGYS00005536	no	no	no	no	no
MGYS00001293	no	no	no	no	no
MGYS00002254	no	no	no	no	no
MGYS00001026	yes	yes	yes	yes	yes
MGYS00001006	no	no	no	no	no
MGYS00001198	no	no	no	no	no
MGYS00003931	no	no	no	no	no
MGYS00005093	yes	no	no	no	no
MGYS00000981	no	no	no	no	no
MGYS00002115	no	yes	no	no	no
MGYS00000989	no	yes	no	no	no
MGYS00000936	no	no	no	no	no
MGYS00003870	yes	yes	no	yes	yes
MGYS00003858	yes	yes	yes	yes	yes
MGYS00003754	yes	no	no	no	no
MGYS00005572	no	no	no	no	yes
MGYS00003691	no	no	no	no	no
MGYS00001353	no	no	yes	no	no
MGYS00000965	yes	yes	yes	yes	yes
MGYS00002190	no	no	no	no	no
MGYS00004602	no	no	no	no	no
MGYS00002429	no	no	no	no	no
MGYS00000975	no	no	no	no	no
MGYS00005185	yes	yes	yes	no	yes
MGYS00000998	no	no	no	no	no
MGYS00000994	no	no	no	no	yes
MGYS00000963	no	no	no	no	no
MGYS00002018	yes	yes	yes	yes	yes
MGYS00000933	no	no	no	no	no
MGYS00001619	no	no	no	no	no
MGYS00006001	no	yes	no	no	no
MGYS00005725	no	no	no	no	no
MGYS00002386	no	no	no	no	no
MGYS00000961	no	no	no	no	no
MGYS00001606	yes	yes	yes	yes	yes
MGYS00005208	no	no	no	no	no
MGYS00000982	no	no	no	no	no
MGYS00000929	no	no	no	no	no
MGYS00001202	no	no	no	no	no
MGYS00003759	yes	yes	yes	yes	yes
MGYS00002679	no	no	yes	no	yes
MGYS00000925	no	no	no	no	no
MGYS00000978	no	no	no	no	no
MGYS00005096	yes	no	no	no	no
MGYS00005053	no	no	no	no	no
MGYS00005092	no	no	no	no	no
MGYS00000939	no	no	no	no	no
MGYS00000947	no	no	no	no	no
MGYS00003688	yes	no	no	no	no
MGYS00005077	no	no	no	no	no
MGYS00001045	no	no	yes	no	no
MGYS00003920	yes	yes	yes	yes	yes
MGYS00001039	no	no	no	no	no
MGYS00001008	no	no	no	no	no
MGYS00005078	no	no	no	no	no
MGYS00003786	no	no	no	no	no
MGYS00005313	no	no	no	no	no
MGYS00005091	no	no	no	no	no
MGYS00002054	yes	yes	yes	yes	yes
MGYS00000935	no	no	yes	yes	no
MGYS00001627	no	no	no	no	no
MGYS00001042	no	no	no	no	no
MGYS00000923	no	no	no	no	no
MGYS00001065	no	no	no	no	no
MGYS00005624	no	no	no	no	no
MGYS00005243	no	no	no	no	no
