Study_id	Models_answer_run1	Models_answer_run2	Models_answer_run3	Models_answer_run4	Models_answer_run5
MGYS00002391	no	no	no	no	no
MGYS00000946	no	no	yes	yes	no
MGYS00005165	no	no	no	no	no
MGYS00002702	no	no	N/A	no	no
MGYS00004650	no	no	no	no	no
MGYS00001003	no	no	no	no	no
MGYS00001173	yes	no	no	yes	no
MGYS00001355	no	no	yes	no	no
MGYS00000980	yes	yes	yes	yes	yes
MGYS00001761	yes	yes	yes	yes	yes
MGYS00004296	no	yes	no	no	no
MGYS00000932	no	no	no	no	no
MGYS00002001	no	no	no	no	no
MGYS00005779	yes	yes	yes	no	yes
MGYS00001053	no	yes	no	no	no
MGYS00005547	yes	yes	yes	yes	yes
MGYS00000972	no	no	no	no	no
MGYS00001046	no	no	N/A	no	no
MGYS00005385	no	no	no	no	no
MGYS00001421	no	no	no	no	yes
MGYS00001059	no	no	no	no	no
MGYS00001448	yes	yes	yes	yes	yes
MGYS00003917	no	yes	yes	N/A	no
MGYS00001354	no	yes	no	no	yes
MGYS00005174	no	no	no	yes	no
MGYS00001052	no	no	yes	yes	yes
MGYS00000958	no	yes	no	yes	yes
MGYS00000921	no	no	no	no	no
MGYS00006214	yes	no	no	no	no
MGYS00001253	no	no	no	no	yes
MGYS00001263	no	no	no	no	N/A
MGYS00005994	no	no	no	yes	no
MGYS00001041	N/A	yes	no	yes	yes
MGYS00001058	no	no	no	yes	no
MGYS00001289	no	N/A	yes	no	no
MGYS00002428	no	no	no	no	no
MGYS00000986	no	no	no	no	no
MGYS00004294	no	no	no	no	no
MGYS00001426	no	yes	no	no	no
MGYS00001062	no	no	no	yes	no
MGYS00001011	no	no	no	no	no
MGYS00001599	no	no	no	no	no
MGYS00005171	no	yes	yes	yes	no
MGYS00001050	no	no	no	no	no
MGYS00001207	no	no	no	no	no
MGYS00005040	no	no	no	no	no
MGYS00000948	yes	no	yes	yes	yes
MGYS00001331	no	no	no	no	no
MGYS00003915	yes	no	no	no	no
MGYS00000966	yes	yes	no	yes	yes
MGYS00004688	N/A	no	no	no	no
MGYS00000953	no	no	no	no	no
MGYS00002294	no	yes	yes	no	yes
MGYS00001034	yes	yes	yes	yes	yes
MGYS00000956	no	no	no	no	no
MGYS00002032	no	no	no	no	no
