Study_id	CC_related
MGYS00003602	no
MGYS00003603	no
MGYS00003611	no
MGYS00003613	no
MGYS00003614	no
MGYS00003616	no
MGYS00003630	no
MGYS00003631	no
MGYS00003632	no
MGYS00003633	no
MGYS00003635	no
MGYS00003636	no
MGYS00003638	no
MGYS00003639	no
MGYS00003640	no
MGYS00003641	no
MGYS00003642	no
MGYS00003654	no
MGYS00003655	no
MGYS00003656	no
MGYS00003687	no
MGYS00003699	no
MGYS00003718	no
MGYS00003721	no
MGYS00003725	no
MGYS00003726	no
MGYS00003750	no
MGYS00003773	no
MGYS00003783	no
MGYS00003806	no
MGYS00003809	yes
MGYS00003810	no
MGYS00003814	no
MGYS00003852	no
MGYS00003855	no
MGYS00003863	no
MGYS00003864	no
MGYS00003866	no
MGYS00003867	yes
MGYS00003869	no
MGYS00003914	no
MGYS00003941	yes
MGYS00003946	no
MGYS00003961	no
MGYS00003984	no
MGYS00003985	yes
MGYS00003988	no
MGYS00003989	yes
MGYS00003990	no
MGYS00003993	no
MGYS00003994	no
MGYS00003996	no
MGYS00003997	no
MGYS00003998	no
MGYS00003999	no
MGYS00004002	no
MGYS00004004	no
MGYS00004006	no
MGYS00004010	no
MGYS00004011	yes
MGYS00004012	no
MGYS00004013	yes
MGYS00004014	no
MGYS00004015	no
MGYS00004016	no
MGYS00004018	no
MGYS00004019	no
MGYS00004022	no
MGYS00004023	no
MGYS00004024	no
MGYS00004025	no
MGYS00004029	no
MGYS00004031	no
MGYS00004032	no
MGYS00004035	no
MGYS00004036	no
MGYS00004037	no
MGYS00004038	no
MGYS00004040	yes
MGYS00004042	no
MGYS00004043	no
MGYS00004044	no
MGYS00004045	no
MGYS00004046	no
MGYS00004047	no
MGYS00004051	no
MGYS00004052	no
MGYS00004053	no
MGYS00004055	no
MGYS00004057	yes
MGYS00004059	no
MGYS00004061	no
MGYS00004064	no
MGYS00004065	no
MGYS00004067	no
MGYS00004069	no
MGYS00004070	no
MGYS00004071	no
MGYS00004073	no
MGYS00004074	no
MGYS00004076	yes
MGYS00004077	no
MGYS00004078	no
MGYS00004081	yes
MGYS00004084	no
MGYS00004086	no
MGYS00004087	no
MGYS00004090	no
MGYS00004091	no
MGYS00004093	no
MGYS00004095	no
MGYS00004096	no
MGYS00004099	no
MGYS00004100	no
MGYS00004101	no
MGYS00004104	no
MGYS00004105	no
MGYS00004107	no
MGYS00004110	no
MGYS00004112	no
MGYS00004116	no
MGYS00004117	no
MGYS00004119	no
MGYS00004120	no
MGYS00004122	no
MGYS00004123	no
MGYS00004125	no
MGYS00004126	no
MGYS00004127	no
MGYS00004128	no
